# merge_scores mode=fair doms=ja,code,en weights=ja=1,code=1,en=1
# layer	expert	score	hits	mean
0	9	128.000000	0	0.000000
0	28	127.000000	0	0.000000
0	56	126.000000	0	0.000000
0	106	125.000000	0	0.000000
0	115	124.000000	0	0.000000
0	75	123.000000	0	0.000000
0	36	122.000000	0	0.000000
0	91	121.000000	0	0.000000
0	114	120.000000	0	0.000000
0	39	119.000000	0	0.000000
0	96	118.000000	0	0.000000
0	64	117.000000	0	0.000000
0	120	116.000000	0	0.000000
0	54	115.000000	0	0.000000
0	65	114.000000	0	0.000000
0	95	113.000000	0	0.000000
0	126	112.000000	0	0.000000
0	90	111.000000	0	0.000000
0	87	110.000000	0	0.000000
0	3	109.000000	0	0.000000
0	42	108.000000	0	0.000000
0	77	107.000000	0	0.000000
0	82	106.000000	0	0.000000
0	78	105.000000	0	0.000000
0	67	104.000000	0	0.000000
0	5	103.000000	0	0.000000
0	124	102.000000	0	0.000000
0	69	101.000000	0	0.000000
0	103	100.000000	0	0.000000
0	99	99.000000	0	0.000000
0	30	98.000000	0	0.000000
0	33	97.000000	0	0.000000
0	59	96.000000	0	0.000000
0	93	95.000000	0	0.000000
0	113	94.000000	0	0.000000
0	34	93.000000	0	0.000000
0	31	92.000000	0	0.000000
0	122	91.000000	0	0.000000
0	125	90.000000	0	0.000000
0	81	89.000000	0	0.000000
0	23	88.000000	0	0.000000
0	105	87.000000	0	0.000000
0	43	86.000000	0	0.000000
0	104	85.000000	0	0.000000
0	52	84.000000	0	0.000000
0	98	83.000000	0	0.000000
0	110	82.000000	0	0.000000
0	13	81.000000	0	0.000000
0	107	80.000000	0	0.000000
0	73	79.000000	0	0.000000
0	119	78.000000	0	0.000000
0	72	77.000000	0	0.000000
0	1	76.000000	0	0.000000
0	20	75.000000	0	0.000000
0	76	74.000000	0	0.000000
0	26	73.000000	0	0.000000
0	2	72.000000	0	0.000000
0	60	71.000000	0	0.000000
0	127	70.000000	0	0.000000
0	68	69.000000	0	0.000000
0	102	68.000000	0	0.000000
0	35	67.000000	0	0.000000
0	15	66.000000	0	0.000000
0	63	65.000000	0	0.000000
0	17	64.000000	0	0.000000
0	40	63.000000	0	0.000000
0	29	62.000000	0	0.000000
0	97	61.000000	0	0.000000
0	37	60.000000	0	0.000000
0	112	59.000000	0	0.000000
0	88	58.000000	0	0.000000
0	4	57.000000	0	0.000000
0	57	56.000000	0	0.000000
0	41	55.000000	0	0.000000
0	12	54.000000	0	0.000000
0	10	53.000000	0	0.000000
0	25	52.000000	0	0.000000
0	62	51.000000	0	0.000000
0	45	50.000000	0	0.000000
0	21	49.000000	0	0.000000
0	109	48.000000	0	0.000000
0	48	47.000000	0	0.000000
0	50	46.000000	0	0.000000
0	117	45.000000	0	0.000000
0	0	44.000000	0	0.000000
0	70	43.000000	0	0.000000
0	83	42.000000	0	0.000000
0	61	41.000000	0	0.000000
0	8	40.000000	0	0.000000
0	100	39.000000	0	0.000000
0	24	38.000000	0	0.000000
0	32	37.000000	0	0.000000
0	27	36.000000	0	0.000000
0	38	35.000000	0	0.000000
0	86	34.000000	0	0.000000
0	47	33.000000	0	0.000000
0	51	32.000000	0	0.000000
0	53	31.000000	0	0.000000
0	123	30.000000	0	0.000000
0	49	29.000000	0	0.000000
0	121	28.000000	0	0.000000
0	116	27.000000	0	0.000000
0	85	26.000000	0	0.000000
0	16	25.000000	0	0.000000
0	84	24.000000	0	0.000000
0	44	23.000000	0	0.000000
0	58	22.000000	0	0.000000
0	11	21.000000	0	0.000000
0	18	20.000000	0	0.000000
0	89	19.000000	0	0.000000
0	80	18.000000	0	0.000000
0	55	17.000000	0	0.000000
0	92	16.000000	0	0.000000
0	7	15.000000	0	0.000000
0	101	14.000000	0	0.000000
0	22	13.000000	0	0.000000
0	118	12.000000	0	0.000000
0	111	11.000000	0	0.000000
0	66	10.000000	0	0.000000
0	6	9.000000	0	0.000000
0	71	8.000000	0	0.000000
0	46	7.000000	0	0.000000
0	79	6.000000	0	0.000000
0	94	5.000000	0	0.000000
0	74	4.000000	0	0.000000
0	108	3.000000	0	0.000000
0	14	2.000000	0	0.000000
0	19	1.000000	0	0.000000
1	68	128.000000	0	0.000000
1	51	127.000000	0	0.000000
1	10	126.000000	0	0.000000
1	122	125.000000	0	0.000000
1	110	124.000000	0	0.000000
1	41	123.000000	0	0.000000
1	71	122.000000	0	0.000000
1	63	121.000000	0	0.000000
1	12	120.000000	0	0.000000
1	53	119.000000	0	0.000000
1	61	118.000000	0	0.000000
1	48	117.000000	0	0.000000
1	43	116.000000	0	0.000000
1	55	115.000000	0	0.000000
1	83	114.000000	0	0.000000
1	35	113.000000	0	0.000000
1	19	112.000000	0	0.000000
1	86	111.000000	0	0.000000
1	120	110.000000	0	0.000000
1	75	109.000000	0	0.000000
1	79	108.000000	0	0.000000
1	74	107.000000	0	0.000000
1	125	106.000000	0	0.000000
1	78	105.000000	0	0.000000
1	23	104.000000	0	0.000000
1	118	103.000000	0	0.000000
1	94	102.000000	0	0.000000
1	107	101.000000	0	0.000000
1	84	100.000000	0	0.000000
1	70	99.000000	0	0.000000
1	60	98.000000	0	0.000000
1	96	97.000000	0	0.000000
1	100	96.000000	0	0.000000
1	31	95.000000	0	0.000000
1	9	94.000000	0	0.000000
1	38	93.000000	0	0.000000
1	27	92.000000	0	0.000000
1	108	91.000000	0	0.000000
1	6	90.000000	0	0.000000
1	113	89.000000	0	0.000000
1	59	88.000000	0	0.000000
1	99	87.000000	0	0.000000
1	65	86.000000	0	0.000000
1	8	85.000000	0	0.000000
1	88	84.000000	0	0.000000
1	33	83.000000	0	0.000000
1	114	82.000000	0	0.000000
1	29	81.000000	0	0.000000
1	98	80.000000	0	0.000000
1	104	79.000000	0	0.000000
1	28	78.000000	0	0.000000
1	58	77.000000	0	0.000000
1	2	76.000000	0	0.000000
1	50	75.000000	0	0.000000
1	89	74.000000	0	0.000000
1	32	73.000000	0	0.000000
1	45	72.000000	0	0.000000
1	16	71.000000	0	0.000000
1	117	70.000000	0	0.000000
1	17	69.000000	0	0.000000
1	93	68.000000	0	0.000000
1	67	67.000000	0	0.000000
1	14	66.000000	0	0.000000
1	119	65.000000	0	0.000000
1	18	64.000000	0	0.000000
1	39	63.000000	0	0.000000
1	81	62.000000	0	0.000000
1	13	61.000000	0	0.000000
1	85	60.000000	0	0.000000
1	97	59.000000	0	0.000000
1	116	58.000000	0	0.000000
1	1	57.000000	0	0.000000
1	101	56.000000	0	0.000000
1	11	55.000000	0	0.000000
1	91	54.000000	0	0.000000
1	26	53.000000	0	0.000000
1	105	52.000000	0	0.000000
1	52	51.000000	0	0.000000
1	37	50.000000	0	0.000000
1	90	49.000000	0	0.000000
1	127	48.000000	0	0.000000
1	77	47.000000	0	0.000000
1	106	46.000000	0	0.000000
1	82	45.000000	0	0.000000
1	57	44.000000	0	0.000000
1	49	43.000000	0	0.000000
1	103	42.000000	0	0.000000
1	20	41.000000	0	0.000000
1	73	40.000000	0	0.000000
1	115	39.000000	0	0.000000
1	21	38.000000	0	0.000000
1	7	37.000000	0	0.000000
1	47	36.000000	0	0.000000
1	30	35.000000	0	0.000000
1	25	34.000000	0	0.000000
1	36	33.000000	0	0.000000
1	4	32.000000	0	0.000000
1	66	31.000000	0	0.000000
1	46	30.000000	0	0.000000
1	121	29.000000	0	0.000000
1	34	28.000000	0	0.000000
1	3	27.000000	0	0.000000
1	80	26.000000	0	0.000000
1	126	25.000000	0	0.000000
1	44	24.000000	0	0.000000
1	62	23.000000	0	0.000000
1	109	22.000000	0	0.000000
1	5	21.000000	0	0.000000
1	54	20.000000	0	0.000000
1	123	19.000000	0	0.000000
1	24	18.000000	0	0.000000
1	76	17.000000	0	0.000000
1	56	16.000000	0	0.000000
1	15	15.000000	0	0.000000
1	0	14.000000	0	0.000000
1	111	13.000000	0	0.000000
1	87	12.000000	0	0.000000
1	40	11.000000	0	0.000000
1	64	10.000000	0	0.000000
1	112	9.000000	0	0.000000
1	22	8.000000	0	0.000000
1	92	7.000000	0	0.000000
1	124	6.000000	0	0.000000
1	102	5.000000	0	0.000000
1	42	4.000000	0	0.000000
1	95	3.000000	0	0.000000
1	69	2.000000	0	0.000000
1	72	1.000000	0	0.000000
2	92	128.000000	0	0.000000
2	42	127.000000	0	0.000000
2	64	126.000000	0	0.000000
2	26	125.000000	0	0.000000
2	125	124.000000	0	0.000000
2	4	123.000000	0	0.000000
2	104	122.000000	0	0.000000
2	65	121.000000	0	0.000000
2	76	120.000000	0	0.000000
2	43	119.000000	0	0.000000
2	66	118.000000	0	0.000000
2	90	117.000000	0	0.000000
2	60	116.000000	0	0.000000
2	96	115.000000	0	0.000000
2	116	114.000000	0	0.000000
2	16	113.000000	0	0.000000
2	117	112.000000	0	0.000000
2	49	111.000000	0	0.000000
2	30	110.000000	0	0.000000
2	119	109.000000	0	0.000000
2	54	108.000000	0	0.000000
2	91	107.000000	0	0.000000
2	45	106.000000	0	0.000000
2	29	105.000000	0	0.000000
2	68	104.000000	0	0.000000
2	113	103.000000	0	0.000000
2	79	102.000000	0	0.000000
2	122	101.000000	0	0.000000
2	78	100.000000	0	0.000000
2	14	99.000000	0	0.000000
2	88	98.000000	0	0.000000
2	39	97.000000	0	0.000000
2	70	96.000000	0	0.000000
2	53	95.000000	0	0.000000
2	23	94.000000	0	0.000000
2	40	93.000000	0	0.000000
2	106	92.000000	0	0.000000
2	52	91.000000	0	0.000000
